trait number,breed number,expected numbers of errors,average number of questions asked,failed cases,successful answer,unsuccessful answer,success rate
8,2,,8.0,0,488,512,0.488
8,18,,8.0,0,60,940,0.06
8,34,,8.0,0,32,968,0.032
8,50,,8.0,0,19,981,0.019
8,66,,8.0,0,12,988,0.012
8,82,,8.0,0,15,985,0.015
8,98,,8.0,0,13,987,0.013
8,114,,8.0,0,7,993,0.007
8,130,,8.0,0,10,990,0.01
8,146,,8.0,0,4,996,0.004
8,162,,8.0,0,2,998,0.002
8,178,,8.0,0,6,994,0.006
8,194,,8.0,0,9,991,0.009
8,210,,8.0,0,5,995,0.005
8,226,,8.0,0,7,993,0.007
8,242,,8.0,0,5,995,0.005
